appid,name,playing_time,playtime_date,creation_time
582010,Monster Hunter: World,56,2025-10-26,2025-10-27 01:01:17.298724+08:00
1172470,Apex Legends,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
3419430,Bongo Cat,276,2025-10-26,2025-10-27 01:01:17.298724+08:00
4046820,CiniCross Demo,31,2025-10-26,2025-10-27 01:01:17.298724+08:00
2652640,SealChain: Call of Blood Demo,21,2025-10-26,2025-10-27 01:01:17.298724+08:00
4012310,Aether & Iron Demo,10,2025-10-26,2025-10-27 01:01:17.298724+08:00
3853080,Cursemark Demo,10,2025-10-26,2025-10-27 01:01:17.298724+08:00
3389180,Aegis Force: The Scorian War Demo,6,2025-10-26,2025-10-27 01:01:17.298724+08:00
4017590,Blanksword Demo,5,2025-10-26,2025-10-27 01:01:17.298724+08:00
3706230,Checkmage! Demo,2,2025-10-26,2025-10-27 01:01:17.298724+08:00
3558110,Appulse Demo,2,2025-10-26,2025-10-27 01:01:17.298724+08:00
2802220,玩具帝国 Demo,2,2025-10-26,2025-10-27 01:01:17.298724+08:00
378720,Thea: The Awakening,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
987840,Expeditions: Rome,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
475150,Titan Quest Anniversary Edition,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
602320,Train Valley 2,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
286160,Tabletop Simulator,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1264970,The Conquest of Go,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1883260,Little Noah: Scion of Paradise,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
522240,Pool Panic,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
281640,The Banner Saga 2,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
560130,Pillars of Eternity II: Deadfire,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1942280,Brotato,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
542050,Forgotton Anne,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
233980,Unepic,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
790820,Valkyria Chronicles 4 Complete Edition,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
400750,Call to Arms - Gates of Hell: Ostfront,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1135810,Vault of the Void,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
525510,"Guns, Gore and Cannoli 2",1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1037130,Dandy Ace,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
524220,NieR:Automata™,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
632470,Disco Elysium,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
230700,La-Mulana,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
368610,The Enchanted Cave 2,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1385380,Across the Obelisk,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
718670,Cultist Simulator,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1436590,Phoenotopia Awakening,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
465100,LUNA The Shadow Dust,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1552080,Deepest Chamber: Resurrection,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
601840,Griftlands,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
613830,CHRONO TRIGGER,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
311290,SpellForce 3 Reforced,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
975370,Dwarf Fortress,1,2025-10-26,2025-10-27 01:01:17.298724+08:00
1948280,Stacklands,182,2025-10-26,2025-10-27 01:01:17.298724+08:00
1282730,Loop Hero,1857,2025-10-26,2025-10-27 01:01:17.298724+08:00
1267910,Melvor Idle,2886,2025-10-26,2025-10-27 01:01:17.298724+08:00
650760,侠客风云传前传(Tale of Wuxia:The Pre-Sequel),4,2025-10-26,2025-10-27 01:01:17.298724+08:00
593280,Cat Quest,382,2025-10-26,2025-10-27 01:01:17.298724+08:00
